Номер;Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
1.1.1;Труба двустенная ПНД гибкая для кабельной канализации d=63 мм спротяжкой, SN13, 500Н;ГОСТ Р МЭК 61386.24-2014;121963A;«ДКС»;м;23;0,21;
1.1.2;Заглушка для трубы ПНД, d=63мм;;023063;«ДКС»;шт.;3;0,01;
1.1.3;Лента сигнальная 450мм;;120808-00024;"ЗАО ""Связьстройдеталь""";м;7;0,602;
