Номер;Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
3.2.1;Управляемый стекируемый коммутатор, 8 портов комбо 1000BASE-T\SFP, 16 портов 100/1000BASE-X SFP, 8 портов 10GbE SFP+, 4K VLAN, 64K MAC адресов, 1 порт USB 2.0, консольный порт, порт управления MGMT, 2 сменных БП (поставляются отдельно) разъем питания на задней панели, размеры ШхГхВ (442x340x44 мм);QSW-6300-32F;;ООО «КЬЮТЭК»;шт.;1;4,3;ПВП км 177
3.2.2;Трансивер «ФТИ-Оптроник» Модуль SFP+ WDM, 10Гбит/с, 40км, разъем LC, Rx/Tx 1270/1330нм;TBSF12d-40-10gLC-3c;;«ФТИ-Оптроник»;шт.;1;0,1;ПВП км 177
3.2.3;Трансивер «ФТИ-Оптроник» Модуль SFP+ WDM, 10Гбит/с, 10км, разъем LC  Rx/Tx 1270/1330nm;TBSF12d-10-10gLC-3c;;«ФТИ-Оптроник»;шт.;1;0,1;ПВП км 177
3.2.4;Трансивер «ФТИ-Оптроник» Модуль SFP+ WDM, 10Гбит/с, 10км, разъем LC  Rx/Tx 1330/1270nm;TBSF13d-10-10gLC-3c;;«ФТИ-Оптроник»;шт.;1;0,1;ПВП км 177
3.2.5;Шнур оптический патчкорд SC-SC, 1м, одинарный;NMF-PC1S2C2-SCU-SCU-001;;;шт.;4;0,1;ПВП км 159 км
3.2.6;Шнур оптический патчкорд SC-LC, sm, 10м, двойной;FOP(d)-9-LC-SC-10m;;Cabeus;шт.;4;0,45;ПВП км 177
3.2.7;Трансивер «ФТИ-Оптроник» Модуль SFP+ WDM, 10Гбит/с, 40км, разъем LC, Rx/Tx 1270/1330нм;TBSF13d-40-10gLC-3c;;«ФТИ-Оптроник»;шт.;1;0,1;ПВП км 177
