Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
;42.1;"Сетевая камера (Разрешение HDTV 1080p при частоте до 25/30 кадр/с) Температура эксплуатации: от -40°C до 60°C
ИК-подсветка с дальностью действия до 150 м
Электронная стабилизация изображений)";GSP 2Sx12 IR150;;"ООО ""ГЛОСАВ""";шт.;16
;4.2.2;Коробка монтажная;;;"ООО ""ГЛОСАВ""";шт.;16
;4.2.3;Консоль для крепления видеокамеры на столб;;;"ООО ""ГЛОСАВ""";шт.;16
;4.2.4;Грозозащита для IP видеокамер;SG-Cam Грозозащита Tfortis;SG-Cam;«Tfortis»;шт.;16
