Номер;Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
3.4.1;Оптическая муфта типа МОГ-СПЛИТ;МОГ-СПЛИТ/252-22-1КТ3645;;;шт.;1;2,3;подключение к периферийному кабелю ВОЛС
3.4.2;Волоконно-оптический кабель 8 волокон;ОКТМ-01-2х4Е3-(2,7);;;м;2163;;
3.4.3;Хомут nylon 3х150мм (упаковка 100шт);;;;шт.;4;0,48;
3.4.4;"Бирка маркировочная (упак. 100шт)
(Ширина 55мм, Длина 55мм, Толщина 0,8мм, 2 паза 3х11мм)";У-134;;;шт.;4;0,13;
